2023-12-07 09:13:47 : begin
2023-12-07 09:13:48 : DUT1 is LOOP CCPB_2ge-A ,slot#16
2023-12-07 09:13:49 : DUT2 is LOOP CCPB_2ge-A ,slot#16
2023-12-07 09:13:51 : DUT:1 ctrl : sw:"V23.11.01 (0010)" serial:203 hw: "Ver.C, FPGA1:V16(7), FPGA2:V14(10), CPLD:V3(2) "
2023-12-07 09:13:51 : DUT:1 ctrl2: sw:"N/A" serial:0 hw: "N/A"
2023-12-07 09:13:59 : DUT:1 slot: 7  QT1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:03 : DUT:1 slot: 4  QE1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:04 : DUT:1 slot: 3  QE1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:09 : DUT:1 slot: c  FT1        ver:" (mismatch)(card type)"
2023-12-07 09:14:14 : DUT:2 ctrl : sw:"V23.11.01 (0010)" serial:478 hw: "Ver.C, FPGA1:V16(7), FPGA2:V14(10), CPLD:V3(2) "
2023-12-07 09:14:14 : DUT:2 ctrl2: sw:"V23.11.01 (0010)" serial:476 hw: "Ver.C"
2023-12-07 09:14:21 : DUT:2 slot: 7  QT1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:24 : DUT:2 slot: 4  QE1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:26 : DUT:2 slot: 3  QE1        ver:"V3.10.01 (0012)"
2023-12-07 09:14:32 : DUT:2 slot: b  FE1        ver:"V4.03.04 (0010), HW: G, FPGA: 09"
2023-12-07 09:19:37 : DUT 1 CurrCLK:Internal   ClkRecover:manul	slot Slot3	port Port4
2023-12-07 09:19:49 : DUT 2 CurrCLK:Internal   ClkRecover:manul	slot Slot3	port Port4
2023-12-07 09:22:35 : DUT 1 (AM3440_CCPA_Get_dpllStabdbyStatus_log)  InputStatus:Ooflos LockStatus:Unlock CalStatus:Normal InputSticky:Oof LockSticky:Lock CalSticky:Normal
2023-12-07 09:28:14 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3032 RxLost=0 Link=up SizeErr=no
2023-12-07 09:28:22 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3348 RxLost=0 Link=up SizeErr=no
2023-12-07 09:28:29 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.6 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3170 RxLost=0 Link=up SizeErr=no
2023-12-07 09:28:37 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.6 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3490 RxLost=0 Link=up SizeErr=no
2023-12-07 09:28:44 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3260 RxLost=0 Link=up SizeErr=no
2023-12-07 09:28:51 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3064 RxLost=0 Link=up SizeErr=no
2023-12-07 09:28:59 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.5 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3364 RxLost=0 Link=up SizeErr=no
2023-12-07 09:29:01 : DUT 1 CTRL-2 (AM3440_CCPA_pw_Standbystatus_get_log)   bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=9.7 LBitCnt=9 RBitCnt=0 TxGood=4068 RxGood=4068 RxLost=0 Link=up SizeErr=no
2023-12-07 09:29:03 : DUT 1 CTRL-2 (AM3440_CCPA_pw_Standbystatus_get_log)   bid_idx=120 Sec Bundle=60 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=9.7 LBitCnt=11 RBitCnt=0 TxGood=0 RxGood=5068 RxLost=0 Link=up SizeErr=no
2023-12-07 09:29:05 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=13 RBitCnt=0 TxGood=6364 RxGood=6364 RxLost=0 Link=up SizeErr=no
2023-12-07 09:29:12 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.2 LBitCnt=7 RBitCnt=0 TxGood=3251 RxGood=3251 RxLost=0 Link=up SizeErr=no
2023-12-07 09:29:19 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=3046 RxGood=3046 RxLost=0 Link=up SizeErr=no
2023-12-07 09:29:27 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=3367 RxGood=3367 RxLost=0 Link=up SizeErr=no
2023-12-07 09:29:34 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.2 LBitCnt=7 RBitCnt=0 TxGood=3160 RxGood=3160 RxLost=0 Link=up SizeErr=no
2023-12-07 09:29:42 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.1 LBitCnt=7 RBitCnt=0 TxGood=3444 RxGood=3444 RxLost=0 Link=up SizeErr=no
2023-12-07 09:29:49 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=3225 RxGood=3225 RxLost=0 Link=up SizeErr=no
2023-12-07 09:29:57 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=8 RBitCnt=0 TxGood=3511 RxGood=3511 RxLost=0 Link=up SizeErr=no
2023-12-07 09:30:04 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.1 LBitCnt=7 RBitCnt=0 TxGood=3288 RxGood=3288 RxLost=0 Link=up SizeErr=no
2023-12-07 09:30:12 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.1 LBitCnt=7 RBitCnt=0 TxGood=3329 RxGood=3329 RxLost=0 Link=up SizeErr=no
2023-12-07 09:30:19 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=3134 RxGood=3134 RxLost=0 Link=up SizeErr=no
2023-12-07 09:30:21 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=9 RBitCnt=0 TxGood=0 RxGood=4133 RxLost=0 Link=up SizeErr=no
2023-12-07 09:30:29 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3445 RxLost=0 Link=up SizeErr=no
2023-12-07 09:30:36 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3235 RxLost=0 Link=up SizeErr=no
2023-12-07 09:30:43 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=7.8 JBMAX=9.7 JBDP=8.2 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3028 RxLost=0 Link=up SizeErr=no
2023-12-07 09:30:51 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.7 JBDP=8.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3328 RxLost=0 Link=up SizeErr=no
2023-12-07 09:30:58 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.7 JBDP=8.1 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3122 RxLost=0 Link=up SizeErr=no
2023-12-07 09:31:06 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=8.0 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3411 RxLost=0 Link=up SizeErr=no
2023-12-07 09:31:13 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=8.2 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3234 RxLost=0 Link=up SizeErr=no
2023-12-07 09:31:21 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=8.2 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3493 RxLost=0 Link=up SizeErr=no
2023-12-07 09:31:28 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=8.0 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3280 RxLost=0 Link=up SizeErr=no
2023-12-07 09:31:35 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=8.2 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3080 RxLost=0 Link=up SizeErr=no
2023-12-07 09:31:37 : DUT 1 CTRL-2 (AM3440_CCPA_pw_Standbystatus_get_log)   bid_idx=121 Pri Bundle=61 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=8.6 LBitCnt=9 RBitCnt=0 TxGood=4286 RxGood=4286 RxLost=0 Link=up SizeErr=no
2023-12-07 09:31:39 : DUT 1 CTRL-2 (AM3440_CCPA_pw_Standbystatus_get_log)   bid_idx=122 Sec Bundle=61 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=8.6 LBitCnt=11 RBitCnt=0 TxGood=0 RxGood=5286 RxLost=0 Link=up SizeErr=no
2023-12-07 09:31:41 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.5 LBitCnt=13 RBitCnt=0 TxGood=6080 RxGood=6080 RxLost=0 Link=up SizeErr=no
2023-12-07 09:31:49 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.5 LBitCnt=7 RBitCnt=0 TxGood=3331 RxGood=3331 RxLost=0 Link=up SizeErr=no
2023-12-07 09:31:56 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.2 LBitCnt=7 RBitCnt=0 TxGood=3033 RxGood=3033 RxLost=0 Link=up SizeErr=no
2023-12-07 09:32:04 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.2 LBitCnt=7 RBitCnt=0 TxGood=3331 RxGood=3331 RxLost=0 Link=up SizeErr=no
2023-12-07 09:32:11 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.5 LBitCnt=7 RBitCnt=0 TxGood=3129 RxGood=3129 RxLost=0 Link=up SizeErr=no
2023-12-07 09:32:19 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.3 LBitCnt=7 RBitCnt=0 TxGood=3402 RxGood=3402 RxLost=0 Link=up SizeErr=no
2023-12-07 09:32:26 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.5 LBitCnt=7 RBitCnt=0 TxGood=3191 RxGood=3191 RxLost=0 Link=up SizeErr=no
2023-12-07 09:32:34 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.2 LBitCnt=7 RBitCnt=0 TxGood=3413 RxGood=3413 RxLost=0 Link=up SizeErr=no
2023-12-07 09:32:41 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.0 LBitCnt=7 RBitCnt=0 TxGood=3185 RxGood=3185 RxLost=0 Link=up SizeErr=no
2023-12-07 09:32:49 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.3 LBitCnt=7 RBitCnt=0 TxGood=3452 RxGood=3452 RxLost=0 Link=up SizeErr=no
2023-12-07 09:32:56 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.1 LBitCnt=7 RBitCnt=0 TxGood=3254 RxGood=3254 RxLost=0 Link=up SizeErr=no
2023-12-07 09:32:58 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.2 LBitCnt=9 RBitCnt=0 TxGood=0 RxGood=4255 RxLost=0 Link=up SizeErr=no
2023-12-07 09:33:05 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3042 RxLost=0 Link=up SizeErr=no
2023-12-07 09:33:13 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3325 RxLost=0 Link=up SizeErr=no
2023-12-07 09:33:20 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.0 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3128 RxLost=0 Link=up SizeErr=no
2023-12-07 09:33:28 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.1 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3400 RxLost=0 Link=up SizeErr=no
2023-12-07 09:33:35 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.2 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3200 RxLost=0 Link=up SizeErr=no
2023-12-07 09:33:43 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.3 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3465 RxLost=0 Link=up SizeErr=no
2023-12-07 09:33:50 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.0 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3213 RxLost=0 Link=up SizeErr=no
2023-12-07 09:33:58 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.2 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3026 RxLost=0 Link=up SizeErr=no
2023-12-07 09:34:05 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.2 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3300 RxLost=0 Link=up SizeErr=no
2023-12-07 09:34:12 : DUT 1 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=9.1 LBitCnt=7 RBitCnt=0 TxGood=0 RxGood=3069 RxLost=0 Link=up SizeErr=no
2023-12-07 09:34:14 : DUT 1 CTRL-2 (AM3440_CCPA_pw_Standbystatus_get_log)   bid_idx=123 Pri Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=8.7 LBitCnt=9 RBitCnt=0 TxGood=4275 RxGood=4275 RxLost=0 Link=up SizeErr=no
2023-12-07 09:34:16 : DUT 1 CTRL-2 (AM3440_CCPA_pw_Standbystatus_get_log)   bid_idx=124 Sec Bundle=62 JBUR=0 JBOR=0 JBMIN=7.7 JBMAX=9.6 JBDP=8.1 LBitCnt=11 RBitCnt=0 TxGood=0 RxGood=5274 RxLost=0 Link=up SizeErr=no
2023-12-07 09:34:18 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=8.1 JBMAX=10.2 JBDP=10.0 LBitCnt=99 RBitCnt=0 TxGood=250329 RxGood=250329 RxLost=0 Link=up SizeErr=no
2023-12-07 09:34:26 : DUT 2 CTRL-1 (AM3440_CCPA_pw_status_get)              bid_idx=119 Pri Bundle=60 JBUR=0 JBOR=0 JBMIN=8.3 JBMAX=10.2 JBDP=9.8 LBitCnt=7 RBitCnt=0 TxGood=3331 RxGood=3331 RxLost=0 Link=up SizeErr=no
